# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
5,48,0,40186330.49606155,56752316785365.67,74
5,49,0,41623725.38270014,106526288858254.3,57
5,50,0,38121526.15666386,84975616257101.72,62
5,51,0,41926747.22441954,88155099080439.88,58
5,52,0,33780473.62548284,70376799812681.81,52
5,53,0,73717976.89849381,328792313693228.5,82
5,54,0,39688980.19429313,71096248618507.83,62
5,55,0,52913245.11835237,126409325623974.4,75
5,56,0,28863416.06815235,29805935754805.44,67
5,57,0,75721829.68079534,313069174272212.9,90
5,58,0,64017662.6937608,128008881059410.3,78
5,59,0,57813906.7767687,302038322466964.9,64
5,60,0,44629818.0604413,68491107346081.39,70
5,61,0,52934767.39685769,112192748567944.5,74
5,62,0,56984332.62018695,146909769483066.4,69
5,63,0,28030231.09893999,48784736307942.76,57
5,64,0,38299156.00025313,93033506960593.38,56
5,65,0,23977051.09520139,34007214431889.77,57
5,66,0,31323884.90946919,53709503899190.95,63
5,67,0,44173470.14240636,99899048473364.47,58
5,68,0,51129474.66130162,106927958571337.9,67
5,69,0,41437952.78854129,88900064632941.16,67
5,70,0,41162141.72167075,65824649736941.68,63
5,71,0,38616324.16106419,61791637815057.72,74
5,72,0,33497066.13007349,53969997276645.59,63
5,73,0,30376353.09949281,72572532814183.77,52
5,74,0,35039851.41289874,61749677176060.34,52
6,0,0,23956405.2453014,48144590074522.02,36
6,1,0,38513372.58844023,85812850253369.09,49
6,2,0,39819664.41331664,65350809218239.68,70
6,3,0,56508003.73335203,120017672068177.4,73
6,4,0,75883808.14688686,257431450184477.8,68
6,5,0,51869178.08413836,101320081038874,80
6,6,0,52269849.78965724,129152839759349.4,74
6,7,0,29668695.51401534,45214175336831.24,66
6,8,0,31045464.62487257,48065560807749.91,60
6,9,0,27703282.94203186,45388918813183.47,50
6,10,0,35228676.76381198,42931364649519.67,72
6,11,0,40729371.92837168,101994003196020.3,65
6,12,0,64447195.21413655,230581273502615.6,66
6,13,0,58954926.57392819,241784453125030.4,65
6,14,0,27659026.90521193,34519445518921.77,57
6,15,0,35576029.27683587,56608108021697.12,55
6,16,0,35867307.99515461,78841356373695,54
6,17,0,36899680.96238832,53758737480345.52,61
6,18,0,41477606.53436407,90860155615079.08,63
6,19,0,35251801.12159701,61964527879477.83,56
6,20,0,36715538.88991431,61235230143077.98,65
6,21,0,61738446.43753169,111940768088358.5,80
6,22,0,50955603.17951124,116463379882956.5,62
6,23,0,39732977.56518096,84486750593303.27,57
6,24,0,50035132.86179662,141000547250986.9,55
6,25,0,37215552.65638703,70939904640684.73,56
6,26,0,49584965.68351656,94909750970534.52,69
6,27,0,37637573.31278396,78054719171653.27,57
6,28,0,31279844.41093433,48393327351496.64,61
6,29,0,73532627.10820934,627858379758878.4,55
6,30,0,40768996.76228325,56314069172516.48,65
6,31,0,50197848.1734764,153639065307770.6,50
6,32,0,37252695.74598548,59119154568894.88,66
6,33,0,38516207.80116782,74014690628436.14,61
6,34,0,26845764.75138682,35367565276761.31,58
6,35,0,34524034.71836451,84380362207213.17,51
6,36,0,31207344.98301504,45590738459204.44,50
6,37,0,48271009.67419262,91176922883363.98,64
6,38,0,23682400.73002598,25933191949095.62,58
6,39,0,57288361.8670572,172676739202095.6,68
6,40,0,65143622.19908728,353020167497935.4,66
6,41,0,31542919.68473351,42890060755266.51,63
6,42,0,49067232.06240387,96634659447424.66,77
6,43,0,39334040.59513716,52484739782207.48,81
6,44,0,49326362.54041602,78608936588709.3,81
6,45,0,48658186.99055385,119885871350228.7,66
6,46,0,31611121.73058793,32302381021504.83,70
6,47,0,54342660.49059168,108651928720051,74
6,48,0,50936184.61413716,99076470666679.2,70
6,49,0,47325706.40638481,113090561315790.1,57
6,50,0,48697672.33996642,96383185444937.66,65
6,51,0,35034192.75175682,50324857675471.2,66
6,52,0,30538678.12623724,46706741146270.2,65
6,53,0,48120001.41691811,98581355890952.02,74
6,54,0,38812476.95353504,64689364324339.7,61
6,55,0,40777258.54594146,128515087153298.7,60
6,56,0,45115441.59637335,97027554298179.45,76
6,57,0,45671016.154538,100133864183141.2,73
6,58,0,43639814.95986513,90814654071467.36,60
6,59,0,45725868.49493515,119706324202241.5,74
6,60,0,55056579.23861543,158862896679335.3,68
6,61,0,54034380.57626687,114322887738485.1,71
6,62,0,58177975.46208439,128668408391709.8,75
6,63,0,41382795.22927407,91745946821300.84,58
6,64,0,35438696.18466093,61668096132819.6,61
6,65,0,37376392.78105134,73741775145404.7,60
6,66,0,36925321.60666535,66212296198842.95,60
6,67,0,37047225.34079105,78387949946981.09,71
6,68,0,47523428.51734038,90112856004863.25,70
6,69,0,44680725.9688971,111358394381141.8,61
6,70,0,23590723.13628746,44633059770556.82,53
6,71,0,34700521.77478111,47613402535238.05,71
6,72,0,41953636.20040126,79754601798838.28,66
6,73,0,42599412.54447348,88171049516697.14,65
6,74,0,35650454.04893033,52536482648484.64,46
7,0,0,18080886.92186192,43091469169324.06,30
7,1,0,30276131.20756757,52701661547640.44,46
7,2,0,40572277.18139997,113790032353633.9,51
7,3,0,45970174.29102165,163723601922786.2,60
7,4,0,41777897.17186446,57651980492899.27,76
7,5,0,70655921.77763487,282591987395384.9,74
7,6,0,38363212.974242,56625867348540.08,66
7,7,0,26833565.41786215,26988448952642.53,62
7,8,0,29256566.7980342,57700693185536.95,54
7,9,0,42869393.63435579,92516408707418.98,61
7,10,0,32012443.80147197,41220324875899.44,59
7,11,0,40555021.34345677,67342314892637.21,60
7,12,0,54530463.6942213,122870404935097,63
7,13,0,46607717.59129116,101098590127586.7,65
7,14,0,44902864.18169358,115473788335032.8,67
7,15,0,44502345.76137315,116627023081296.8,62
7,16,0,56916164.02831007,293309693578076,66
7,17,0,43486219.81405447,144155070008173.4,48
7,18,0,38573582.31362795,106761509721471.5,57
7,19,0,33918986.92849495,66054160764591.97,54
7,20,0,44049866.23715772,91311617396145.11,62
7,21,0,48034534.05158414,120012197785180.4,59
7,22,0,49840587.19745304,242527045620462.7,67
7,23,0,30050597.42568566,49265547816365.88,52
7,24,0,47969620.93146924,93411234480874.84,72
7,25,0,36269693.36482812,77219998588579.89,55
7,26,0,53780720.21533068,298933247045663.6,52
7,27,0,43821251.03658601,92777174531789.72,50
7,28,0,34394512.52842411,70024348904096.86,57
7,29,0,24463835.68345385,35950735888883.93,51
7,30,0,32648030.08705962,60487167428289.69,54
7,31,0,37003263.89331838,72825456296706.34,70
7,32,0,40170201.248277,86185068884946.91,61
7,33,0,47568463.46557069,151580205702931.3,64
7,34,0,44155569.58620103,125839008918838.1,56
7,35,0,45201916.14183615,276855977094196,53
7,36,0,30654988.41877066,33326682392145.01,61
7,37,0,45784096.83399791,244921889435954.7,62
7,38,0,53598875.65989558,140349622983820.5,69
7,39,0,54511976.60529763,102390894664311.2,84
7,40,0,46183087.60889896,89732433198965.92,67
7,41,0,35944443.66621407,50708387818140.45,69
7,42,0,50572718.26691557,159739179526876.6,65
7,43,0,38858301.18269911,55027267765874.88,71
7,44,0,37013387.12707236,54203583050996.49,64
7,45,0,50162776.82190209,122978180030744.1,75
7,46,0,52981448.09716862,114166126590415.9,80
7,47,0,79353707.0825721,348258387886074.6,80
7,48,0,52691020.29444367,109584606897402.3,70
